date,artist,song,pos,pos_prev,pos_peak,weeks
2009-11-14,Flo Rida Featuring Ne-Yo,Be On You,85,59,19,16
2009-12-26,Rihanna Featuring Jeezy,Hard,21,20,19,4
2009-06-20,Adam Lambert,Mad World,100,44,19,3
2009-11-21,Taylor Swift,Untouchable,69,19,19,2
2009-12-26,Justin Bieber,One Time,41,34,20,21
2009-08-29,Kelly Clarkson,I Do Not Hook Up,94,82,20,18
2009-12-26,Chris Brown Featuring Lil Wayne & Swizz Beatz,I Can Transform Ya,24,22,20,10
2009-09-26,Disney's Friends For Change,Send It On,83,63,20,5
2009-12-26,Young Money Featuring Lloyd,BedRock,20,24,20,3
2009-06-06,Carrie Underwood,Home Sweet Home,79,0,21,3
2009-05-23,The-Dream,Rockin' That Thang,46,41,22,20
2009-11-21,Green Day,21 Guns,60,58,22,20
2009-11-28,Boys Like Girls,Love Drunk,45,37,22,20
2009-10-17,Rob Thomas,Her Diamonds,61,56,23,20
2009-11-21,Taylor Swift,The Other Side Of The Door,94,23,23,2
2009-11-14,New Boyz,You're A Jerk,100,94,24,20
2009-08-22,JAY-Z,D.O.A. (Death Of Auto-Tune),97,86,24,7
2009-06-13,David Cook,Permanent,72,24,24,2
2009-12-19,Zac Brown Band,Toes,55,43,25,20
2009-12-26,Cascada,Evacuate The Dancefloor,25,25,25,18
2009-05-30,Eminem Featuring Dr. Dre,Old Time's Sake,93,25,25,2
2009-12-12,John Mayer,Half Of My Heart,84,25,25,2
2009-07-04,Jesse McCartney Featuring Ludacris,How Do You Sleep?,93,67,26,20
2009-08-08,Zac Brown Band,Whatever It Is,45,39,26,20
2009-12-26,Birdman Featuring Lil Wayne & Drake,Money To Blow,26,26,26,10
2009-11-28,Justin Bieber,Favorite Girl,73,26,26,2
2009-11-14,Taylor Swift,Superstar,26,0,26,1
2009-08-22,Lady Antebellum,I Run To You,49,40,27,21
2009-09-26,Billy Currington,People Are Crazy,63,55,27,20
2009-10-24,Dorrough,Ice Cream Paint Job,60,57,27,20
2009-08-15,Brad Paisley,Then,61,54,28,20
2009-08-08,Green Day,Know Your Enemy,88,84,28,15
2009-12-26,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,28,32,28,8
2009-12-26,50 Cent Featuring Ne-Yo,Baby By Me,29,31,28,7
2009-10-24,Glee Cast,Somebody To Love,76,28,28,3
2009-05-09,Katy Perry,Thinking Of You,97,84,29,15
2009-12-26,Shakira Featuring Lil Wayne,Give It Up To Me,34,29,29,5
2009-08-22,T.I. Featuring Mary J. Blige,Remember Me,94,29,29,2
2009-10-10,Darius Rucker,Alright,76,71,30,20
2009-12-26,Lady Gaga Featuring Beyonce,Telephone,46,41,30,3
2009-10-31,Glee Cast,It's My Life / Confessions Part II,71,30,30,2
2009-11-14,Taylor Swift,Come In With The Rain,30,0,30,1
2009-12-19,Leona Lewis,Happy,79,70,31,9
2009-12-26,Usher,Papers,57,36,31,9
2009-12-05,Glee Cast,Defying Gravity,74,31,31,3
2009-12-26,Timbaland Featuring Justin Timberlake,Carry Out,31,75,31,2
2009-11-07,The Fray,Never Say Never,51,47,32,20
2009-12-19,Kenny Chesney With Dave Matthews,I'm Alive,69,49,32,16
2009-05-16,Eminem,3am,32,0,32,1
2009-10-17,Maxwell,Pretty Wings,50,44,33,23
2009-08-01,Sugarland,It Happens,93,90,33,20
2009-12-26,Chris Young,Gettin' You Home,86,80,33,18
2009-12-26,New Boyz Featuring Ray J,Tie Me Down,33,37,33,9
2009-04-18,Lil Wayne,Hot Revolver,92,38,33,3
2009-06-20,Plain White T's,"1, 2, 3, 4",47,50,34,20
2009-12-05,Keith Urban,Only You Can Love Me This Way,85,62,34,19
2009-12-26,Luke Bryan,Do I,37,35,34,15
2009-11-07,Glee Cast,Sweet Caroline,34,0,34,1
2009-08-29,Dierks Bentley,Sideways,81,73,35,20
2009-11-28,Toby Keith,American Ride,96,85,35,16
2009-12-26,Jesse McCartney Featuring T-Pain,Body Language,69,50,35,11
2009-12-26,Snoop Dogg Featuring The-Dream,Gangsta Luv,35,39,35,8
2009-05-30,Darius Rucker,It Won't Be Like This For Long,88,80,36,20
2009-12-26,Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted,68,58,36,15
2009-12-26,Kris Allen,Live Like We're Dying,36,44,36,7
2009-10-10,Rascal Flatts,Summer Nights,99,82,37,18
2009-12-26,Muse,Uprising,66,59,37,14
2009-07-11,Dave Matthews Band,Funny The Way It Is,92,87,37,8
2009-07-18,Jonas Brothers,Paranoid,88,70,37,7
2009-03-14,U2,Get On Your Boots,96,0,37,3
2009-11-28,Justin Bieber,Love Me,95,67,37,3
2009-06-13,Kris Allen,Ain't No Sunshine,94,37,37,2
2009-12-26,Ester Dean Featuring Chris Brown,Drop It Low,98,92,38,14
2009-12-26,Reba,Consider Me Gone,40,38,38,11
2009-12-26,Miranda Lambert,White Liar,49,46,38,9
2009-12-26,Trey Songz Featuring Fabolous,Say Aah,38,40,38,5
2009-07-25,Maino Featuring T-Pain,All The Above,58,55,39,20
2009-10-10,Beyonce,Ego,86,77,39,17
2009-12-26,Breaking Benjamin,I Will Not Bow,81,78,40,15
2009-12-26,Drake Featuring Lil Wayne & Young Jeezy,I'm Going In,96,84,40,13
2009-09-05,Jessie James,Wanted,66,40,40,12
2009-11-14,Chamillionaire,Good Morning,94,63,40,3
2009-10-31,Glee Cast,Halo / Walking On Sunshine,84,40,40,2
2009-10-24,Jay-Z + Mr. Hudson,Young Forever,94,83,41,5
2009-08-01,Pleasure P,Boyfriend #2,94,86,42,18
2009-12-05,Brad Paisley,Welcome To The Future,87,56,42,16
2009-12-26,Gucci Mane Featuring Usher,Spotlight,42,48,42,7
2009-12-26,Shinedown,If You Only Knew,47,42,42,7
2009-12-26,Alicia Keys,Try Sleeping With A Broken Heart,56,51,42,4
